marketid	upstreamid	downstreamid	cites_cites	kn_similarity	_sq*(kn_similarity)	cites_size	cites_experience	cites_rankcmd	domain_similarity	match
1	1	1	0	0	0	0.23079006	0	0	0	0
1	1	2	0.29118624	0.29978627	0.089871809	0.46158013	0.023064235	0.28899488	0.76674402	0
1	1	3	0.30275774	0.4393822	0.19305672	0.23079006	0.011532118	0.10321245	0.75726467	1
1	1	4	0.44597113	0.11011104	0.012124442	0.23079006	0.0086490894	0.10321246	0.77885783	0
1	1	5	0.36349627	0.17980836	0.032331046	0.51606226	0.020181207	0.061927479	0.3883974	0
1	1	6	0.36204052	0.14144459	0.020006573	0.46158013	0.0086490894	0.061927479	0.39847711	0
1	1	7	0.51606226	0.23102689	0.053373422	0	0.43245444	0	0.7609483	0
1	1	8	0.48963907	0.088475816	0.0078279702	0.23079006	0.0028830294	0	0.35762122	0
1	1	9	0.51495618	0.049631812	0.0024633168	0.32638645	0.014415148	0.20642492	0.34823105	0
1	2	1	0	0.014036189	0.0001970146	0.37196031	0	0	0	0
1	2	2	0.46929976	0.0044773691	0.000020046835	0.74392062	0.037172224	0.46576798	0.078492932	0
1	2	3	0.48794937	0.0062046298	0.00003849743	0.37196031	0.018586112	0.1663457	0.06835945	0
1	2	4	0.71876389	0.58654982	0.34404069	0.37196031	0.013939586	0.16634572	0.95836943	1
1	2	5	0.58584058	0.23791891	0.05660541	0.83172852	0.032525696	0.099807426	0.78149587	0
1	2	6	0.58349437	0.31103471	0.096742593	0.74392062	0.013939586	0.099807426	0.81194627	0
1	2	7	0.83172852	0.33357635	0.11127318	0	0.69697922	0	0.8839258	0
1	2	8	0.78914273	0.044481248	0.0019785813	0.37196031	0.004646528	0	0.23662522	0
1	2	9	0.82994586	0.21739136	0.047259003	0.52603132	0.023232641	0.33269143	0.89424092	0
1	3	1	0	0	0	0	0	0	0	0
1	3	2	0	0.43938223	0.19305675	0	0	0	0.97088194	1
1	3	3	0	0.3828145	0.14654694	0	0	0	0.99455023	0
1	3	4	0	0.10858054	0.011789733	0	0	0	0.094256803	0
1	3	5	0	0.0081311278	0.000066115237	0	0	0	0.023734644	0
1	3	6	0	0.0054515777	0.0000297197	0	0	0	0	0
1	3	7	0	0.0087287696	0.00007619142	0	0	0	0.07427112	0
1	3	8	0	0.00039715998	1.5773605*^-7	0	0	0	0.29970458	0
1	3	9	0	0.0020599249	4.2432907*^-6	0	0	0	0	0
1	4	1	0	0	0	0.44721359	0.005586592	0	0	0
1	4	2	0.5642463	0.010273869	0.00010555239	0.89442718	0.044692736	0.56	0.01843217	0
1	4	3	0.58666903	0.0047133584	0.000022215747	0.44721359	0.022346368	0.19999999	0.033029888	0
1	4	4	0.86418086	0.20902985	0.043693479	0.44721359	0.016759777	0.2	0.76091933	0
1	4	5	0.70436513	0.13839252	0.01915249	1	0.039106146	0.12	0.37579319	0
1	4	6	0.70154423	0.16726956	0.027979106	0.89442718	0.016759777	0.12	0.38332173	0
1	4	7	1	0.18094352	0.032740556	0	1	0	0.3690221	0
1	4	8	0.94879842	0.21686295	0.047029536	0.44721359	0.005586592	0	0.27264607	0
1	4	9	0.99785668	0.77009916	0.59305274	0.63245553	0.027932961	0.40000001	0.96429241	1
1	5	1	0	0.010534615	0.00011097812	0.24727668	0	0	0	0
1	5	2	0.31198728	0.0087764086	0.000077025346	0.49455336	0.024711842	0.30963936	0.023081336	0
1	5	3	0.3243854	0.013501927	0.00018230204	0.24727668	0.012355921	0.11058549	0.032983534	0
1	5	4	0.47782931	0.090132013	0.0081237797	0.24727668	0.0092669409	0.1105855	0.74546677	0
1	5	5	0.38946283	0.1844144	0.034008671	0.55292743	0.021622861	0.066351295	0.37368375	0
1	5	6	0.38790306	0.18229294	0.033230714	0.49455336	0.0092669409	0.066351295	0.65050519	0
1	5	7	0.55292743	0.22730844	0.051669125	0	0.46334705	0	0.58452433	1
1	5	8	0.52461666	0.32892159	0.10818941	0.24727668	0.0030889802	0	0.31253576	0
1	5	9	0.55174237	0.60755825	0.36912704	0.34970203	0.015444901	0.22117099	0.90728533	0
1	6	1	0	0	0	0.20798147	0	0	0	0
1	6	2	0.26240879	0.0017760791	3.1544569*^-6	0.41596293	0.020784836	0.260434	0.24199674	0
1	6	3	0.27283671	0.0022069756	4.8707411*^-6	0.20798147	0.010392418	0.093012139	0.21996334	0
