"marketid"	"upstreamid"	"downstreamid"	"payoff"	"originalmatch"	"urmax"	"drmax"	"urmin"	"drmin"	"removeU"	"removeD"	"{U, 33, 6}"	"{U, 33, 7}"	"{U, 33, 9}"	"{D, 33, 2}"	"{D, 33, 5}"	"{D, 33, 7}"	"{D, 33, 12}"
1	1	1	0.19956845514932492	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	1	2	5.294862795176221	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	1	3	5.2834685420307155	1	""	""	""	""	0	0	1	1	1	1	1	1	1
1	1	4	4.069548122728968	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	1	5	3.216587919609272	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	1	6	2.9889858302094208	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	1	7	5.36192044736495	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	1	8	2.392232214067663	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	1	9	2.616572207244624	0	""	7.848456847989496	0	""	0	1	0	0	0	0	0	0	0
1	2	1	0.40224054264667874	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	2	2	2.2269934181530364	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	2	3	1.3756956722126594	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	2	4	7.058043442851266	1	""	""	""	""	0	0	1	1	1	1	1	1	1
1	2	5	5.399659707602204	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	2	6	5.702165303062545	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	2	7	7.189793845472113	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	2	8	2.1648241611253867	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	2	9	6.025589015094477	0	""	7.848456847989496	0	""	0	1	0	0	0	0	0	0	0
1	3	1	0	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	3	2	5.320070637529674	1	""	""	""	""	0	0	1	1	1	1	1	1	1
1	3	3	5.196429077928762	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	3	4	0.9158862625302016	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	3	5	0.12728264173769382	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	3	6	0.03142822931571611	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	3	7	0.30203729812492175	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	3	8	1.0183447452391656	0	""	""	""	""	0	0	0	0	0	0	0	0	0
1	3	9	0.011893906809738675	0	""	7.848456847989496	0	""	0	1	0	0	0	0	0	0	0
1	4	1	0.3867139047413202	0	3.261881937695513	""	""	0	1	0	0	0	0	0	0	0	0
1	4	2	2.4481446927744814	0	3.261881937695513	""	""	0	1	0	0	0	0	0	0	0	0
1	4	3	1.4715503346601138	0	3.261881937695513	""	""	0	1	0	0	0	0	0	0	0	0
1	4	4	5.27035077306496	0	3.261881937695513	""	""	2.008468835369447	1	0	0	0	0	0	0	0	0
1	4	5	3.85666801435225	0	3.261881937695513	""	""	0.594786076656737	1	0	0	0	0	0	0	0	0
1	4	6	3.8849341901357937	0	3.261881937695513	""	""	0.6230522524402806	1	0	0	0	0	0	0	0	0
1	4	7	5.287677976092128	0	3.261881937695513	""	""	2.0257960383966154	1	0	0	0	0	0	0	0	0
1	4	8	3.3887457057902237	0	3.261881937695513	""	""	0.12686376809471067	1	0	0	0	0	0	0	0	0
