marketid	upstreamid	downstreamid	cites_cites	kn_similarity	kn_similarity_sq	cites_size	cites_experience	cites_rankcmd	domain_similarity	match	removeup	removedown
1	1	1	0	0	0	.23079006	0	0	0	0	0	0
1	1	2	.29118624	.29978627	.089871809	.46158013	.023064235	.28899488	.76674402	0	0	0
1	1	3	.30275774	.4393822	.19305672	.23079006	.011532118	.10321245	.75726467	1	0	0
1	1	4	.44597113	.11011104	.012124442	.23079006	.0086490894	.10321246	.77885783	0	0	0
1	1	5	.36349627	.17980836	.032331046	.51606226	.020181207	.061927479	.3883974	0	0	0
1	1	6	.36204052	.14144459	.020006573	.46158013	.0086490894	.061927479	.39847711	0	0	0
1	1	7	.51606226	.23102689	.053373422	0	.43245444	0	.7609483	0	0	0
1	1	8	.48963907	.088475816	.0078279702	.23079006	.0028830294	0	.35762122	0	0	0
1	1	9	.51495618	.049631812	.0024633168	.32638645	.014415148	.20642492	.34823105	0	0	1
1	2	1	0	.014036189	.0001970146	.37196031	0	0	0	0	0	0
1	2	2	.46929976	.0044773691	.000020046835	.74392062	.037172224	.46576798	.078492932	0	0	0
1	2	3	.48794937	.0062046298	.00003849743	.37196031	.018586112	.1663457	.06835945	0	0	0
1	2	4	.71876389	.58654982	.34404069	.37196031	.013939586	.16634572	.95836943	1	0	0
1	2	5	.58584058	.23791891	.05660541	.83172852	.032525696	.099807426	.78149587	0	0	0
1	2	6	.58349437	.31103471	.096742593	.74392062	.013939586	.099807426	.81194627	0	0	0
1	2	7	.83172852	.33357635	.11127318	0	.69697922	0	.8839258	0	0	0
1	2	8	.78914273	.044481248	.0019785813	.37196031	.004646528	0	.23662522	0	0	0
1	2	9	.82994586	.21739136	.047259003	.52603132	.023232641	.33269143	.89424092	0	0	1
1	3	1	0	0	0	0	0	0	0	0	0	0
1	3	2	0	.43938223	.19305675	0	0	0	.97088194	1	0	0
1	3	3	0	.3828145	.14654694	0	0	0	.99455023	0	0	0
1	3	4	0	.10858054	.011789733	0	0	0	.094256803	0	0	0
1	3	5	0	.0081311278	.000066115237	0	0	0	.023734644	0	0	0
1	3	6	0	.0054515777	.0000297197	0	0	0	0	0	0	0
1	3	7	0	.0087287696	.00007619142	0	0	0	.07427112	0	0	0
1	3	8	0	.00039715998	1.5773605e-07	0	0	0	.29970458	0	0	0
1	3	9	0	.0020599249	4.2432907e-06	0	0	0	0	0	0	1
1	4	1	0	0	0	.44721359	.005586592	0	0	0	1	0
1	4	2	.5642463	.010273869	.00010555239	.89442718	.044692736	.56	.01843217	0	1	0
1	4	3	.58666903	.0047133584	.000022215747	.44721359	.022346368	.19999999	.033029888	0	1	0
1	4	4	.86418086	.20902985	.043693479	.44721359	.016759777	.2	.76091933	0	1	0
1	4	5	.70436513	.13839252	.01915249	1	.039106146	.12	.37579319	0	1	0
1	4	6	.70154423	.16726956	.027979106	.89442718	.016759777	.12	.38332173	0	1	0
1	4	7	1	.18094352	.032740556	0	1	0	.3690221	0	1	0
1	4	8	.94879842	.21686295	.047029536	.44721359	.005586592	0	.27264607	0	1	0
1	4	9	.99785668	.77009916	.59305274	.63245553	.027932961	.40000001	.96429241	1	1	1
1	5	1	0	.010534615	.00011097812	.24727668	0	0	0	0	0	0
1	5	2	.31198728	.0087764086	.000077025346	.49455336	.024711842	.30963936	.023081336	0	0	0
1	5	3	.3243854	.013501927	.00018230204	.24727668	.012355921	.11058549	.032983534	0	0	0
1	5	4	.47782931	.090132013	.0081237797	.24727668	.0092669409	.1105855	.74546677	0	0	0
1	5	5	.38946283	.1844144	.034008671	.55292743	.021622861	.066351295	.37368375	0	0	0
1	5	6	.38790306	.18229294	.033230714	.49455336	.0092669409	.066351295	.65050519	0	0	0
1	5	7	.55292743	.22730844	.051669125	0	.46334705	0	.58452433	1	0	0
1	5	8	.52461666	.32892159	.10818941	.24727668	.0030889802	0	.31253576	0	0	0
1	5	9	.55174237	.60755825	.36912704	.34970203	.015444901	.22117099	.90728533	0	0	1
1	6	1	0	0	0	.20798147	0	0	0	0	0	0
1	6	2	.26240879	.0017760791	3.1544569e-06	.41596293	.020784836	.260434	.24199674	0	0	0
1	6	3	.27283671	.0022069756	4.8707411e-06	.20798147	.010392418	.093012139	.21996334	0	0	0
1	6	4	.40189657	.067637518	.0045748339	.20798147	.0077943141	.093012147	.94761497	0	0	0
1	6	5	.32757255	.10657761	.011358785	.46506071	.018186731	.055807289	.78434998	0	0	0
1	6	6	.32626066	.10789296	.011640891	.41596293	.0077943141	.055807289	.88044143	0	0	0
1	6	7	.46506071	.11103868	.01232959	0	.3897157	0	.96552134	0	0	0
1	6	8	.44124886	.33645946	.11320496	.20798147	.0025981045	0	.47713643	1	0	0
1	6	9	.46406394	.020582283	.00042363038	.29413024	.012990523	.18602429	.69249284	0	0	1
1	7	1	0	0	0	.28316483	0	0	0	0	0	0
1	7	2	.35726711	.0093861958	.000088100671	.56632966	.028298361	.35457847	.032930642	0	0	0
1	7	3	.37146464	.011097019	.00012314382	.28316483	.014149181	.12663516	.036480617	0	0	0
1	7	4	.54717845	.60721719	.36871272	.28316483	.010611886	.12663516	.80172932	0	0	0
1	7	5	.44598699	.34355083	.11802717	.63317585	.024761066	.075981103	.41079855	0	0	0
1	7	6	.44420084	.38281447	.14654692	.56632966	.010611886	.075981103	.72393024	1	0	0
1	7	7	.63317585	.38026634	.14460249	0	.53059429	0	.67026287	0	0	0
1	7	8	.60075623	.10295469	.010599667	.28316483	.0035372952	0	.31081861	0	0	0
1	7	9	.63181871	.29346117	.086119458	.40045556	.017686475	.25327033	.89900476	0	0	1
1	8	1	0	.48070365	.231076	.23057418	0	0	0	1	0	0
1	8	2	.29091385	.0033136217	.000010980089	.46114835	.02304266	.28872454	.098562434	0	0	0
1	8	3	.30247453	.0002023444	4.0943256e-08	.23057418	.01152133	.1031159	.049827393	0	0	0
1	8	4	.44555396	.0029865182	8.9192908e-06	.23057418	.008640998	.10311591	.3584322	0	0	0
1	8	5	.36315626	.098032117	.0096102962	.51557952	.020162327	.061869547	.38594726	0	0	0
1	8	6	.36170182	.0045114104	.000020352823	.46114835	.008640998	.061869547	.68882078	0	0	0
1	8	7	.51557952	.25699884	.066048399	0	.4320499	0	.76951563	0	0	0
